number_courses,time_study,Marks
3,5,19
4,0,8
4,3,14
6,8,53
8,8,55
6,3,18
3,6,30
5,3,17
4,4,20
3,6,31
3,7,42
7,0,12
7,4,24
3,4,18
3,3,11
4,4,19
5,6,31
8,6,38
6,8,51
8,4,25
4,5,22
6,6,36
5,2,12
7,5,28
4,4,17
3,1,7
7,1,13
8,4,27
5,0,9
4,1,9
8,4,24
3,2,8
8,1,15
6,7,40
3,4,17
3,8,44
4,3,13
6,7,46
7,7,41
6,8,51
4,0,7
6,3,16
6,4,20
5,2,10
4,2,10
3,2,9
4,4,17
4,5,23
3,6,27
5,4,19
6,7,41
6,4,22
4,1,8
7,6,37
8,8,53
7,3,18
8,8,53
7,8,52
3,6,31
8,7,51
6,0,11
4,2,11
6,4,20
3,5,21
7,0,13
6,2,14
4,5,28
3,1,6
4,1,9
6,4,21
4,4,17
5,3,13
3,5,20
3,2,7
4,7,40
3,1,6
5,6,37
8,6,38
7,7,50
3,1,6
7,8,54
8,2,18
4,7,44
5,3,16
8,2,16
8,6,40
7,4,23
3,1,6
5,2,11
7,6,40
7,4,24
8,3,20
4,5,24
8,6,42
8,4,24
6,4,19
3,0,6
4,7,41
7,0,12
3,6,32
